,id,original_title,poster_path,overview,budget,genres,release_date,popularity,revenue,director,top_cast,keywords
110,33542,紅番區,/y7AxKPPCtZyrGQKvxzn5zTQ8wFm.jpg,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head.",7500000, Crime Action Comedy Thriller,1995-01-30,12.314278,32392047.0,Stanley Tong, Jackie Chan Anita Mui Françoise Yip, new york martial arts supermarket gang war disabled child gang wedding diamond bronx duringcreditsstinger
114,51352,Anne Frank Remembered,/x2n4YIVsms3JL8qCfzrbOg2yx0x.jpg,"Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first fully-rounded portrait of their brash and free-spirited daughter Anne, perhaps the world's most famous victim of the Holocaust. Written by Dawn M. Barclift",0, Documentary Drama Foreign,1995-06-08,0.243986,1.0,Jon Blair,, fascism auschwitz typhus victim interview prejudice burglary rabbit
117,78406,Steal Big Steal Little,/dMSEHHiHaCS5lZ7gfkuAH701sBW.jpg,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So when Mona leaves her fortune and estate to Ruben it starts a battle between brothers that soon leads to madness, mayhem, and even attempted murder. On Ruben's side is Lou Perilli an ex-Chicago cop and used car dealer who knows the law - and how to get around it. On Robby's side is ruthless businessman Reed Tyler, who is out to turn a swift profit on Mona's property. Walking a shifty line between them is Eddie Agopian, the family lawyer, who doesn't care which side wins as long as he's on the winner's side. But whether they're stealing big or stealing little, they're all stealing in this hilarious comedy about greed, power... and brotherly love.",25000000, Comedy Drama,1995-09-29,1.522412,6278139.0,Andrew Davis, Andy García Alan Arkin Rachel Ticotin, brother brother relationship twin brother lawyer estate santa barbara california
120,11066,Boomerang,/3dDufFHAuVXpfMdXkDUC0M0Y5TL.jpg,"Marcus is a successful advertising executive who woos and beds women almost at will. After a company merger he finds that his new boss, the ravishing Jacqueline, is treating him in exactly the same way. Completely traumatised by this, his work goes badly downhill.",40000000, Comedy Romance,1992-06-30,6.506983,70100000.0,Reginald Hudlin, Eddie Murphy Robin Givens Halle Berry, role of women ladykiller success ladies' man chefin casanova womanizer
123,2074,Flirting with Disaster,/pxxYa68L05ZR4vMwc6yB8KqXslo.jpg,"Adopted as a child, new father Mel Colpin (Ben Stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy (Patricia Arquette), and an inept yet gorgeous adoption agent, Tina (Tea Leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents (Josh Brolin, Richard Jenkins).",7000000, Comedy Romance,1996-03-22,5.579088,14702438.0,David O. Russell, Ben Stiller Patricia Arquette Téa Leoni, lsd looking for  birth parents half-brother independent film
130,11863,Jade,/koKHFZ0FYd7yG1g3RphU6TQRVOg.jpg,"Someone does a nasty hatchet job on a San Fransisco big noise and the Assistant D.A. takes charge of the investigation. Through a web of blackmail and prostitution involving the Governor, an old lover of the law man emerges as a prime suspect and he has to deal with his personal feelings as well as the case.",50000000, Action Thriller Mystery Romance,1995-10-13,11.418917,9851610.0,William Friedkin, David Caruso Linda Fiorentino Chazz Palminteri, callgirl san francisco investigation murder
135,5757,Man of the Year,/nKYRDhGlbvQpXJnyMm7fcFDtm6P.jpg,"First-time director Dirk Shafer also penned this raucous ""mockumentary,"" a blend of fact and fiction that re-creates his 1992 reign as Playgirl magazine's Centerfold of the Year. When Shafer chooses to keep the fact that he's gay a secret from the magazine's editors, he finds himself living the ultimate lie -- and incapable of giving female readers what they really want. Will he succumb to his lover's pressures to come out of the closet?",0, Comedy,1995-09-15,0.540436,209935.0,Dirk Shafer, Dirk Shafer Mary Stein Claudette Sutherland, homosexuality independent film mockumentary
139,11000,The Birdcage,/wRTkvqRTB05gcGInsnGqVgLkb3t.jpg,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancé's right-wing moralistic parents.,31000000, Comedy,1996-03-08,6.49968,185260553.0,Mike Nichols, Robin Williams Gene Hackman Nathan Lane, gay drag queen homophobia florida coming out senator politician lgbt crossdressing 1990s
142,9737,Bad Boys,/1dKsSfpAqWSc5UJT9VIqK5JVFI5.jpg,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",19000000, Action Comedy Crime Thriller,1995-04-07,9.262184,141407024.0,Michael Bay, Will Smith Martin Lawrence Téa Leoni, miami detective handcuffs airport mexican standoff strip club witness protection car crash internal affairs gunfight explosion brutality foot chase car chase drug lord hangar loose cannon bust reference to skittles black cop badge action hero corrupt cop
145,22279,An Awfully Big Adventure,/e8YzXziAXKIqnWJbLI6OzbdkGYD.jpg,"An Awfully Big Adventure is a 1995 drama film about a theatre company in Liverpool, set in 1947 and based on the 1989 novel of the same name by Beryl Bainbridge.",4000000, Romance Drama Comedy,1995-07-21,0.922958,851545.0,Mike Newell, Alan Rickman Hugh Grant Georgina Cates, england based on novel liverpool theatre company 1940s
147,568,Apollo 13,/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",52000000, Drama,1995-06-30,18.761467,355237933.0,Ron Howard, Tom Hanks Bill Paxton Kevin Bacon, moon florida nasa spaceman race against time houston based on true story space rescue survival disaster explosion astronaut imax saturn v rocket courage hypothermia apollo program cape kennedy lunar mission spacecraft accident
148,11780,Rob Roy,/8O52wIIbskNl9kZnGvP9Gi4A2oN.jpg,"In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen, Rob is forced into a Robin Hood lifestyle to defend his family and honour.",28000000, Adventure,1995-04-13,10.193549,31596911.0,Michael Caton-Jones, Liam Neeson Jessica Lange John Hurt, scotland biography 18th century highlands violent man
150,414,Batman Forever,/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",100000000, Action Crime Fantasy,1995-06-16,13.321354,336529144.0,Joel Schumacher, Val Kilmer Tommy Lee Jones Jim Carrey, riddle dc comics rose gotham city partner superhero robin broken neck psychologist violence criminal district attorney millionaire falling down stairs tied up tommy gun beretta knocked out super powers disfigurement father figure
153,5894,Blue in the Face,/qa9yf3OlfXbYBb0af0mpawGB6TI.jpg,"Auggie runs a small tobacco shop in Brooklyn, New York. The whole neighborhood comes to visit him to buy cigarettes and have some small talk. During the movie Lou Reed tries to explain why he has to have a cut on his health insurance bill if he keeps smoking and Madonna acts as a Singing Telegram.",2000000, Comedy,1995-09-15,11.528147,1275000.0,Paul Auster, Harvey Keitel Lou Reed Michael J. Fox, smoking corner shop cigarette tobacco cigar independent film
154,1775,Canadian Bacon,/qnKARYBofUzHkBY8x9GWSNSoota.jpg,Canadian Bacon is the only fictitious film from Director Michael Moore. This comedy is about an American president who decides to go to war to bring the public’s opinion of him up during election time. Canadian Bacon is actor John Candy’s last film.,11000000, Action Comedy,1995-06-08,5.391556,178104.0,Michael Moore, John Candy Alan Alda Rhea Perlman,
155,8839,Casper,/cpMbvFDD2C21pqMNXVPhSWGQBR9.jpg,"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away.",50000000, Fantasy Comedy Family,1995-05-26,12.812539,287928194.0,Brad Silberling, Christina Ricci Bill Pullman Cathy Moriarty, halloween friendship supernatural afterlife friends danger ghost disorder young heroes imaginary supernatural ability mischievous children
156,20649,Clockers,/ugGhvQoGBrefqmkeBvBgT4YVCRk.jpg,"Strike is a young city drug pusher under the tutelage of drug-lord Rodney Little.When a night man at a fast-food restaurant is found with four bullets in his body, Strike's older brother turns himself in as the killer. Det. Rocco Klein doesn't buy the story, however, and sets out to find the truth, and it seems that all the fingers point toward Strike &amp; Rodney.",25000000, Mystery Crime Drama,1995-09-15,4.558992,13071518.0,Spike Lee, Harvey Keitel John Turturro Delroy Lindo, drug pusher train drug drug lord
157,10329,Congo,/wjeQaiAApgzdipkNXhQnBrqjBY9.jpg,"Eight people embark on an expedition into the Congo, a mysterious expanse of unexplored Africa where human greed and the laws of nature have gone berserk. When the thrill-seekers -- some with ulterior motives -- stumble across a race of killer apes.",50000000, Action Adventure Drama Mystery Science Fiction Thriller,1995-06-09,7.260574,152022101.0,Frank Marshall, Laura Linney Dylan Walsh Ernie Hudson, gorilla kongo diamond mine diamond
158,8963,Crimson Tide,/oDJyDX11HW4j565vUjmFagKxDTQ.jpg,"On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.",53000000, Action Thriller Drama,1995-05-12,8.657365,157387195.0,Tony Scott, Denzel Washington Gene Hackman Matt Craven, submarine mutiny russia missile nuclear missile embassy u.s. navy battle for power torpedo military moral dilemma post cold war aircraft carrier chain of command launch code sonar
159,26564,Crumb,/yzK39sdkGoiSyKZEWT6HQzaC0BX.jpg,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.",0, Documentary,1994-09-10,3.620388,3174695.0,Terry Zwigoff, Robert Crumb Aline Kominsky Charles Crumb, underground biography art
